Carol Burnett,"When you have a dream, you’ve got to grab it and never let go."
Audrey Hepburn,Nothing is impossible. The word itself says ‘I’m possible!'
Alexander the Great,There is nothing impossible to they who will try.
Michael Altshuler,The bad news is time flies. The good news is you’re the pilot.
Nicole Kidman ,Life has got all those twists and turns. You’ve got to hold on tight and off you go.
Walt Whitman,"Keep your face always toward the sunshine, and shadows will fall behind you."
Winston Churchill,"Success is not final, failure is not fatal: it is the courage to continue that counts."
Oprah Winfrey,You define your own life. Don’t let other people write your script.
Malala Yousafzai,You are never too old to set another goal or to dream a new dream.
Mother Teresa,Spread love everywhere you go.
Lady Gaga,Do not allow people to dim your shine because they are blinded. Tell them to put some sunglasses on.
Kesha,You can be everything. You can be the infinite amount of things that people are.
Aristotle,It is during our darkest moments that we must focus to see the light.
Theodore Roosevelt,Believe you can and you’re halfway there.
Marianne Cantwell,Weaknesses are just strengths in the wrong environment.
Marlee Matlin,Silence is the last thing the world will ever hear from me.
Maya Angelou,Try to be a rainbow in someone’s cloud.
Ruth Bader Ginsburg,"Real change, enduring change, happens one step at a time."
Dwayne “The Rock” Johnson,"Wake up determined, go to bed satisfied."
Jay-Z,"Nobody built like you, you design yourself."
Jay-Z,"Nobody built like you, you design yourself."